category,pick,result,actual_or_note
Game market,Giants +6.5,LOSS,Rams won 28-6
Sack value,Abdul Carter to record a sack +198,WIN,1 sack
Addon highlight,Cam Skattebo O1.5 receptions,WIN,4 receptions
Addon highlight,Darnell Mooney O1.5 receptions,WIN,2 receptions
Addon highlight,Theo Johnson O0.5 receptions,LOSS,0 receptions
Addon highlight,Tyler Higbee O1.5 receptions +108,LOSS,0 receptions
Addon highlight,Theo Johnson O9.5 receiving yards,LOSS,0 yards
Addon highlight,Tyler Higbee O11.5 receiving yards,LOSS,0 yards
